epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,953.985,1.43455,1.81315,1.39116,0.56561,0.4094,0.43872,0.28933,1.32923,1.52688,1.26447,9.99865e-05,9.99865e-05,0.0667712
2,1851.52,1.37868,1.68551,1.35155,0.61376,0.46997,0.51123,0.35253,1.18885,1.22072,1.17281,0.000199965,0.000199965,0.0335378
3,2734.66,1.34717,1.61735,1.33111,0.60994,0.4824,0.5182,0.35988,1.17827,1.21086,1.16825,0.000299856,0.000299856,0.000304365
4,3608.29,1.33831,1.59733,1.32473,0.60667,0.48712,0.5185,0.36004,1.17686,1.20787,1.16678,0.000299707,0.000299707,0.000299707
5,4482.97,1.33488,1.5922,1.32396,0.61302,0.48535,0.51781,0.36018,1.17478,1.20381,1.16464,0.000299479,0.000299479,0.000299479
6,5362.59,1.33657,1.59309,1.3235,0.61723,0.48624,0.52014,0.3614,1.17447,1.20319,1.16411,0.000299187,0.000299187,0.000299187
7,6250.28,1.33408,1.5928,1.323,0.61973,0.48523,0.52067,0.36225,1.17419,1.20172,1.1635,0.000298829,0.000298829,0.000298829
8,7130.61,1.33463,1.58978,1.32125,0.61006,0.48787,0.52173,0.36242,1.17453,1.20096,1.1635,0.000298407,0.000298407,0.000298407
9,8014.93,1.33204,1.58467,1.32004,0.60555,0.49081,0.52228,0.36288,1.17322,1.19934,1.16288,0.00029792,0.00029792,0.00029792
10,8889.02,1.33309,1.586,1.32042,0.60436,0.49084,0.52207,0.36261,1.17202,1.19897,1.16207,0.00029737,0.00029737,0.00029737
11,893.617,1.33188,1.58404,1.32076,0.60635,0.48898,0.52237,0.36332,1.17158,1.19857,1.16194,0.000296755,0.000296755,0.000296755
12,1758.33,1.32963,1.58055,1.31851,0.60881,0.48756,0.52246,0.36332,1.17118,1.19776,1.16189,0.000296076,0.000296076,0.000296076
13,885.397,1.32633,1.57462,1.31701,0.60735,0.4882,0.52285,0.36361,1.17151,1.19784,1.1622,0.000295335,0.000295335,0.000295335
14,1751.27,1.32804,1.57746,1.31784,0.60575,0.48979,0.52258,0.36296,1.17115,1.19741,1.16212,0.00029453,0.00029453,0.00029453
15,2619.16,1.32427,1.5683,1.31488,0.60591,0.48943,0.52272,0.36302,1.17143,1.19669,1.16229,0.000293662,0.000293662,0.000293662
16,3500.73,1.32489,1.57036,1.31607,0.60496,0.4898,0.52302,0.36302,1.17166,1.19623,1.16237,0.000292732,0.000292732,0.000292732
17,4365.8,1.32284,1.56714,1.31577,0.60897,0.48596,0.52237,0.36284,1.17154,1.19602,1.16242,0.00029174,0.00029174,0.00029174
18,5233.99,1.32651,1.57241,1.31699,0.60292,0.48942,0.52224,0.36261,1.17201,1.19661,1.16285,0.000290686,0.000290686,0.000290686
19,6104.99,1.32503,1.57553,1.31714,0.60239,0.48758,0.52219,0.36243,1.17217,1.19661,1.16285,0.000289572,0.000289572,0.000289572
20,6986.65,1.32781,1.5754,1.31691,0.6027,0.48698,0.52205,0.36268,1.17238,1.19671,1.16272,0.000288397,0.000288397,0.000288397
